"Gender" "Nationality" "Age" "Online_test" "Test_Language" "RawScore_English" "RawScore_Math" "RawScore_Psychology" "Program" "MeanFYG" "Credits"
"1" "female" "Dutch" 20 "present at testday" "English" 15 18 28 "Dutch" 6.5 55
"2" "female" "German" 20 "present at testday" "Dutch" 17 26 21 "Dutch" 5.3 17.5
"3" "male" "Dutch" 21 "present at testday" "Dutch" 18 8 29 "English" 6.9 8
"4" "male" "EU" 19 "present at testday" "English" 20 22 30 "English" 4.2 60
"5" "male" "German" 18 "present at testday" "English" 17 12 37 "English" 6.1 50
"6" "female" "German" 21 "online" "Dutch" 15 18 37 "English" 7.2 55
"7" "female" "German" 18 "present at testday" "English" 13 16 38 "Dutch" 7.9 60
"8" "female" "German" 18 "present at testday" "Dutch" 17 14 29 "Dutch" 6.9 60
"9" "female" "Non-EU" 19 "present at testday" "Dutch" 11 12 36 "Dutch" 7 45
"10" "female" "Dutch" 19 "present at testday" "English" 7 16 33 "Dutch" 7.2 60
"11" "female" "Dutch" 20 "present at testday" "English" 15 16 20 "Dutch" 5.4 50
"12" "male" "Dutch" 20 "present at testday" "English" 15 26 31 "English" 7.8 60
"13" "female" "German" 19 "online" "English" 17 21 33 "Dutch" 7.1 60
"14" "female" "Non-EU" 21 "online" "English" 14 14 33 "English" 5.7 0
"15" "female" "German" 19 "present at testday" "English" 9 16 29 "English" 8.6 60
"16" "female" "Dutch" 21 "present at testday" "Dutch" 12 14 29 "Dutch" 4.4 58
"17" "male" "Dutch" 18 "present at testday" "English" 15 17 28 "English" 7.5 60
"18" "male" "German" 19 "present at testday" "English" 10 13 26 "English" 6.8 60
"19" "female" "EU" 18 "present at testday" "Dutch" 18 24 33 "Dutch" 6.8 55
"20" "female" "German" 20 "present at testday" "English" 14 11 30 "English" 6.6 57
"21" "male" "German" 19 "present at testday" "Dutch" 10 16 27 "English" 8.2 60
"22" "female" "Dutch" 17 "present at testday" "Dutch" 12 18 34 "Dutch" 6.7 60
"23" "female" "German" 20 "present at testday" "English" 17 18 37 "English" 8.7 60
"24" "female" "German" 19 "present at testday" "Dutch" 15 17 28 "English" 8.6 35
"25" "female" "German" 23 "present at testday" "English" 14 8 24 "English" 5.4 45
"26" "male" "Dutch" 20 "present at testday" "Dutch" 15 22 33 "Dutch" 5.3 60
"27" "female" "Dutch" 19 "present at testday" "English" 15 16 37 "Dutch" 7.6 60
"28" "female" "German" 21 "present at testday" "Dutch" 16 18 16 "English" 4.9 0
"29" "female" "German" 19 "present at testday" "Dutch" 15 13 31 "English" 7.5 55
"30" "female" "Dutch" 18 "present at testday" "Dutch" 11 10 36 "Dutch" 6.8 60
"31" "male" "EU" 18 "present at testday" "Dutch" 14 11 36 "English" 5.9 50
"32" "female" "German" 18 "present at testday" "English" 11 15 22 "English" 5.3 8
"33" "female" "German" 19 "present at testday" "Dutch" 11 21 31 "English" 8 60
"34" "male" "German" 23 "online" "Dutch" 15 17 29 "Dutch" 6.7 55
"35" "female" "Dutch" 18 "online" "Dutch" 17 16 36 "English" 6.8 50
"36" "female" "German" 21 "present at testday" "Dutch" 12 24 23 "Dutch" 3 2
"37" "male" "Dutch" 18 "online" "Dutch" 11 20 32 "Dutch" 5.8 55
"38" "female" "Dutch" 18 "present at testday" "Dutch" 14 11 33 "English" 5.9 53
"39" "female" "German" 18 "present at testday" "Dutch" 15 12 27 "English" 5.6 60
"40" "male" "Dutch" 21 "present at testday" "Dutch" 14 15 30 "Dutch" 6.8 60
"41" "female" "Dutch" 21 "present at testday" "English" 9 6 28 "English" 6.2 50
"42" "female" "Dutch" 21 "present at testday" "Dutch" 12 20 27 "English" 5.8 60
"43" "female" "German" 22 "present at testday" "English" 16 17 34 "Dutch" 7 60
"44" "male" "Dutch" 17 "present at testday" "English" 14 13 23 "English" 6.5 22.5
"45" "female" "German" 17 "present at testday" "English" 13 20 32 "English" 7.9 60
"46" "female" "Dutch" 19 "present at testday" "English" 13 14 30 "Dutch" 8.7 55
"47" "female" "German" 19 "present at testday" "Dutch" 14 24 17 "English" 5.2 40
"48" "female" "German" 20 "present at testday" "English" 12 13 31 "English" 7.2 60
"49" "female" "German" 18 "present at testday" "English" 19 20 32 "English" 7.1 60
"50" "female" "German" 17 "present at testday" "English" 18 9 29 "English" 5.6 60
"51" "female" "German" 19 "present at testday" "Dutch" 11 20 27 "English" 6.5 60
"52" "male" "Dutch" 18 "present at testday" "English" 7 5 26 "English" 7.5 22.5
"53" "female" "Dutch" 18 "present at testday" "English" 15 24 23 "Dutch" 3.8 15.5
"54" "male" "German" 21 "present at testday" "English" 8 16 33 "Dutch" 8.1 48
"55" "male" "German" 19 "present at testday" "Dutch" 9 17 28 "Dutch" 6.2 60
"56" "male" "EU" 19 "present at testday" "English" 18 10 36 "English" 1 55
"57" "female" "German" 19 "present at testday" "Dutch" 17 14 24 "Dutch" 5 10
"58" "female" "German" 21 "online" "English" 17 17 30 "English" 7.5 48
"59" "female" "EU" 20 "present at testday" "Dutch" 13 18 25 "English" 6.5 45
"60" "female" "Dutch" 19 "present at testday" "English" 7 19 23 "English" 6.5 10
"61" "male" "Dutch" 18 "present at testday" "English" 16 11 32 "Dutch" 4.2 60
"62" "female" "EU" 18 "present at testday" "English" 10 13 32 "Dutch" 7.5 43
"63" "female" "Non-EU" 19 "present at testday" "English" 15 14 22 "English" 4 40
"64" "female" "Dutch" 19 "present at testday" "English" 7 15 27 "English" 7 60
"65" "female" "German" 19 "present at testday" "Dutch" 7 10 30 "Dutch" 6.8 43
"66" "female" "EU" 20 "online" "English" 15 13 23 "Dutch" 3.7 10
"67" "male" "Dutch" 18 "present at testday" "English" 13 24 31 "English" 5.8 35
